title,news,img-url,category,summery,opinion
CM Murad Ali Shah criticises PTI over Qureshi-Tareen spat,"
SEHWAN (Dunya News) Ã¢ÂÂ Sindh Chief Minister Murad Ali Shah on Wednesday strongly criticised the ruling Pakistan Tehreek-e-Insaf (PTI) Ã¢ÂÂ following differences between PTI stalwarts Shah Mahmood Qureshi and Jahangir Khan Tareen Ã¢ÂÂ by stating Ã¢ÂÂask the PTI how many blocs are there [in the party]Ã¢ÂÂ.
He spoke to the media in Sehwan, and contrasted the PTI with the Pakistan Peoples Party (PPP) by saying, Ã¢ÂÂNo member of the PPP will abandon the party.Ã¢ÂÂ
Ã¢ÂÂThey have been clashing with each other,Ã¢ÂÂ he added.
Ã¢ÂÂWhoever has betrayed the PPP, suffered his fair share of ill-fate,Ã¢ÂÂ he went on to say.
The differences between two senior members of the PTI came to surface when Qureshi asked Tareen to refrain from attending official government meetings.
Shortly after, Tareen via Twitter took a swipe at Qureshi, saying: ""There is only one man in my life whom I consider my leader and to whom I am answerable. His name is Imran Khan.""
""I have stood by his side through thick and thin and will continue to do so till my last breath, IA. What others may say for their own strange reasons does not concern me,"" he added, without naming Qureshi.
Tareen was disqualified by the Supreme Court in December 2017 for mis-declaration under Article 62(1)(f) of the Constitution.
ÃÂ 
ÃÂ ",https://img.dunyanews.tv/news/2019/April/04-03-19/news_big_images/485243_57467099.jpg,pakistan,"Shortly after, Tareen via Twitter took a swipe at Qureshi, saying: ""There is only one man in my life whom I consider my leader and to whom I am answerable.",positive
LHC expresses resentment over uncertain national situation,"
LAHORE (Dunya News) Ã¢ÂÂ Justice Muhammad Ameer Bhatti of the Lahore High Court (LHC) expressed resentment over uncertain national situation while hearing a case against non-payment of dues to contractors related to roads construction.
Justice Muhammad Ameer Bhatti said in his remarks that the government daily asks for loans worth billions of rupees from leaders of different countries after inviting them to Pakistan, but no one knows where the money is going.
He stated that the price of dollar is increasing despite these loans and the government is not doing anything.
Justice Muhammad Ameer Bhatti bashed the incumbent government for inflation and hike in petroleum prices. People are not getting any relief, he said.
He pronounced that the government is apparently committing fraud with the contractors and the court will not tolerate that. A similar system was in operation earlier as well, but the situation had never become so uncertain, the justice added.ÃÂ ",https://img.dunyanews.tv/news/2019/April/04-03-19/news_big_images/485238_44309589.jpg,pakistan,"Justice Muhammad Ameer Bhatti said in his remarks that the government daily asks for loans worth billions of rupees from leaders of different countries after inviting them to Pakistan, but no one knows where the money is going.",neutral
"PM Khan to include youths in policy-making matters over unemployment, education","
ISLAMABAD (Dunya News) Ã¢ÂÂ Prime Minister (PM) Imran Khan on Wednesday decided to establish a 22-member Ã¢ÂÂYouth CouncilÃ¢ÂÂ that would devise recommendations in policy-making matters pertaining to unemployment, education, health, and other departments as well.
Sources familiar with the matter told the media that youths belonging to different sectors would be included in the council, however purely on merit basis. 
The council will be headed by the PM himself. They will present their suggestions to resolve critical issues concerning youths, including unemployment, education and health.
ÃÂ ",,pakistan,"
ISLAMABAD (Dunya News) Â Prime Minister (PM) Imran Khan on Wednesday decided to establish a 22-member ÂYouth CouncilÂ that would devise recommendations in policy-making matters pertaining to unemployment, education, health, and other departments as well.",positive
50 rebels surrender to state in Balochistan,"
QUETTA (Web Desk) Ã¢ÂÂ At least 50 rebels of Balochistan have surrendered to the government today (Wednesday).

A function was held in this connection in Quetta in which the fugitives were brought into the national mainstream. Balochistan Home Minister Mir Ziaullah Lango distributed prizes among these commanders.



Sources told that these insurgents belonged to Balochistan Liberation Army, Balochistan Republican Army, and other proscribed organizations.



Besides others, the commanders also included Izzat Khan, Nauroz Khan, Naseer Ahmad, Zahoor Ahmad, and Javed.

A number of civil and military officers were also present on the occasion.ÃÂ ",https://img.dunyanews.tv/news/2019/April/04-03-19/news_big_images/485232_94112948.jpg,pakistan,"
QUETTA (Web Desk) Â At least 50 rebels of Balochistan have surrendered to the government today (Wednesday).",negative
Oil tanker collides with wall of government college in Daska,"
DASKA (Dunya News) Ã¢ÂÂ Speeding oil tanker on Wednesday turned turtle after colliding with the wall of Government College for Boys at Sialkot Road in Daska.



According to details, the oil has spread to the mosque of the education institute. 

Getting information about the mishap, teams arrived at the scene and started rescue operation to clear the area. ÃÂ ",https://img.dunyanews.tv/news/2019/April/04-03-19/news_big_images/485223_43058848.jpg,pakistan,"
DASKA (Dunya News) Â Speeding oil tanker on Wednesday turned turtle after colliding with the wall of Government College for Boys at Sialkot Road in Daska.",negative
PM Imran summons meeting to assess implementation of NAP,"
ISLAMABAD (Dunya News) Ã¢ÂÂ Prime Minister Imran Khan Wednesday summoned a meeting to assess the progress made in implementation of the National Action Plan (NAP).
The premier will oversee the steps taken to freeze the assets of the banned outfits. Important provisos will further be added regarding the NAP implementation in the session.
The interior ministry has informed the provincial home departments to submit reports on execution of the NAP. Punjab and Khyber Pakhtunkhwa (KP) home departments have forwarded their statements to the interior ministry.
All provincial home secretaries have been directed to attend the meeting.",https://img.dunyanews.tv/news/2019/April/04-03-19/news_big_images/485222_13618910.jpg,pakistan,The interior ministry has informed the provincial home departments to submit reports on execution of the NAP.,neutral
Railway traffic partially restored after delay of many hours,"
RAHIM YAR KHAN (Dunya News) Ã¢ÂÂ Thousands of passengers were left stranded on Tuesday night at many stations as railway traffic has been heavily affected after a freight train derailed yesterday.
However, Pakistan Railways officials have claimed that railway traffic has been restored partly. Many passengers, including women and children spent sleepless night at Karachi Cantonment Railway Station with no proper facilities available.
Administration, reportedly, did not come for their assistance.
Around 8am on Wednesday, the Pakistan Express arrived at the Karachi Cantonment Railway Station, and was ready to depart after a 19-hour delay. The Allama Iqbal Express is also ready to leave. It was supposed to leave on Tuesday at 12pm.
The Tezgam from Karachi to Rawalpindi is also ready to leave. Its original departure time was 5pm on Tuesday.
The Shalimar Express, after a delay of seven hours, arrived at Lahore Railway Station.
Railway traffic was suspended when 13 bogies of a freight train derailed near Rahim Yar Khan.
The suspension caused a delay in trainsÃ¢ÂÂ arrival and departure due to repair work that took more than 30 hours.
Meanwhile, many trains from other cities have still not arrived in Karachi.
ÃÂ ",https://img.dunyanews.tv/news/2019/April/04-03-19/news_big_images/485214_31556327.jpg,pakistan,"Around 8am on Wednesday, the Pakistan Express arrived at the Karachi Cantonment Railway Station, and was ready to depart after a 19-hour delay.",neutral
Finance Minister Asad Umar to chair ECC meeting today,"
ISLAMABAD (Dunya News) - Finance Minister Asad Umar will chair a meeting of the Economic Coordination Committee (ECC) in Islamabad today (Wednesday), Dunya News reported.
Sources said that the meeting will review the demand and production of urea fertilizer in the country. The meeting will also review the performance of Utility Stores Corporation.
The meeting will also be given briefing on National Accountability Bureau (NAB) cases against Steel Mills employees.
The meeting will also give approve a grant of Rs 61 crore for the office of Controller General Accounts, Rs 7 crore for the Pakistan Nuclear Regulatory Authority and Rs 25 crore for Auditor General, Pakistan.
Apart from this, a grant of Rs 14 crore will be approved for the Pakistan Mortgage Refinance Company while a supplementary grant will also be approved for civil armed forces.
ÃÂ ",https://img.dunyanews.tv/news/2019/April/04-03-19/news_big_images/485165_95133481.jpg,pakistan,The meeting will also be given briefing on National Accountability Bureau (NAB) cases against Steel Mills employees.,positive
Weather to remain dry in most parts of country,"
ISLAMABAD (Dunya News) - Pakistan Meteorological Department (PMD) has predicted dry weather in most parts of the country, while hot in south Punjab and Sindh during the next 24 hours.
The Met Office said that continental air is prevailing over most parts of the country. Mainly dry weather is expected in most parts of the country during the next 24 hours. Dust raising winds also expected in Sindh in afternoon.
Meanwhile, weather remained dry in most parts of the country during the past 24 hours. Chhor, Mithi and Shaheed Benazirabad remained the hottest places in the country where temperature surged up to 44ÃÂ°C.
ÃÂ ",https://img.dunyanews.tv/news/2019/April/04-03-19/news_big_images/485164_74701339.jpg,pakistan,"Meanwhile, weather remained dry in most parts of the country during the past 24 hours.",neutral
"Amid turmoil, NATO in Afghanistan marks anniversary","
(AFP) Ã¢ÂÂ Top NATO officials in Afghanistan on Wednesday heralded key gains from more than 17 years of war, even as the United States seeks to end the grinding conflict that President Donald Trump this week called ""ridiculous"".
Despite hundreds of thousands of troops from NATO having served in Afghanistan since the September 11, 2001 attacks, last year was the bloodiest on record and the Taliban have made gains across the country.
The extremists now control more Afghan territory than any time since they were ousted in the US-led invasion of 2001, and once again are imposing their strict interpretation of Sharia law.
Trump is fed up with the war, which has killed more than 2,300 American troops and cost the US taxpayer more than $1 trillion.
The Afghanistan war is ""unfortunate, itÃÂ s ridiculous,"" Trump said Tuesday in Washington.
In December, he told advisors he wanted to pull about half of AmericaÃÂ s 14,000 troops out of Afghanistan, a decision apparently made without consulting NATO allies.
But in a ceremony marking at NATOÃÂ s 70th anniversary at their intensely fortified compound in Kabul on Wednesday, dignitaries sought to put a positive spin on things.
Afghanistan ""is a modern and vibrant emerging democracy"", said Nicholas Kay, NATOÃÂ s senior civilian representative in Afghanistan.
""We all salute the improvements in womenÃÂ s rights, for millions of children and notably girls enrolled in schools, the free press and notable advancements in health care,"" he added.
That narrative is under increasing pressure, however, with the Taliban growing ever stronger and AfghanistanÃÂ s security forces dealing with horrendous losses.
Last year, a United Nations agency documented 3,804 civilian deaths in Afghanistan, with another 7,819 people injured in the war.

Tough love

Kay was joined by Afghanistan chief executive Abdullah Abdullah and NATOÃÂ s Afghanistan commander General Scott Miller, who championed the allianceÃÂ s enduring ""cohesion"".
""We all remain committed to this nation,"" he said.
Trump, however, has frequently hammered NATO -- accusing longstanding allies of being freeloaders who do not pull their weight on military spending.
NATO Secretary General Jens Stoltenberg has embraced TrumpÃÂ s tough-love approach and credited him with a big increase in member state defence spending.
As for the Afghan gains, many fear AmericaÃÂ s desire to withdraw from Afghanistan will ultimately see the Taliban back in power.
US special envoy Zalmay Khalilzad is in Afghanistan this week as part of an ongoing drive to find a way out.
He has met with various Afghan politicians and stakeholders, including women representatives, ahead of an expected new round of peace talks with the Taliban in Doha.
Kay insisted NATO is determined to stay in Afghanistan to protect hard-won gains for Afghans.
""We will remain here to assist Afghans until the conditions are right for a change in our posture,"" he said.
ÃÂ ",https://img.dunyanews.tv/news/2019/April/04-03-19/news_big_images/485325_92294787.jpg,world,"
(AFP) Â Top NATO officials in Afghanistan on Wednesday heralded key gains from more than 17 years of war, even as the United States seeks to end the grinding conflict that President Donald Trump this week called ""ridiculous"".",positive
German charity ship rescues 64 migrants off Libya,"
ÃÂ 
ROME (AFP) - A German charity rescue ship has picked up 64 migrants, including women and children, stranded off Libya while trying to cross the Mediterranean for Europe.
The Watch the Med association said it received a call for help from the stricken inflatable on Wednesday.
""The authorities were unreachable,"" Watch the Med said of the Libyan coastguard charged with search and rescue operations in the zone off Zouara.
Charities frequently accuse the Libyan authorities of failing to rescue migrants, while rights groups say migrants face abuses in Libya.
Instead, German charity Sea-WatchÃÂ s Alan Kurdi rescue vessel went to rescue the migrants.
""TheyÃÂ re all safe and sound on board our vessel,"" Sea-Eye said.
""The Libyan coastguard is not answering or rescuing""ÃÂ ",https://img.dunyanews.tv/news/2019/April/04-03-19/news_big_images/485313_15762149.jpg,world,"""The authorities were unreachable,"" Watch the Med said of the Libyan coastguard charged with search and rescue operations in the zone off Zouara.",positive
Iran flood death toll reaches 62,"
TEHRAN (AFP) - The death toll from major floods swamping much of Iran over the past 15 days has risen to 62, the head of the Iranian Legal Medicine Organisation told local media Wednesday.
Ahmad Shojaee told the semi-official Fars news agency the southern province of Fars has been hit the hardest with 21 dead.
The western province of Lorestan and the northern province of Golestan followed with 14 and 8 dead respectively, he said.
Flood-related deaths have been reported in 11 out of IranÃÂ s 31 provinces, Shojaee added.
The semi-official ISNA news agency said the current toll was a tally of the victims whose bodies have been transferred to coroner offices across the country, indicating the count could still rise.
Iran has been hit by flooding across most of the country since March.
The countryÃÂ s northeast was swamped on March 19 before the west and southwest of the country were inundated on March 25, killing a total 45 people.
Flooding in the west and southwest continued on April 1 when heavy rains returned to the area
""Seventy-eight intercity roads have been blocked, as many as 2,199 rural roads and 84 bridges have been washed away,"" said Behnam Saeedi, spokesman for the National Disaster Management Organisation
""Across 15 provinces, 141 rivers burst their banks and around 400 land slides were reported,"" he told state TV
The government said the flooding had damaged nearly 12,000 kilometres (7,500 miles) of roads, or 36 percent of the countryÃÂ s entire street networkÃÂ ",https://img.dunyanews.tv/news/2019/April/04-03-19/news_big_images/485311_11418451.jpg,world,"
TEHRAN (AFP) - The death toll from major floods swamping much of Iran over the past 15 days has risen to 62, the head of the Iranian Legal Medicine Organisation told local media Wednesday.",neutral
